Название;Автор;Наличие;Цена со скидкой;Цена без скидки;Скидка
Алгоритмы. Теория и практическое применение;Стивенс Род;На складе;985;1263;22
{Вы пока еще не знаете JS} Познакомьтесь, JavaScript;Симпсон Кайл;На складе;821;1053;22
Паттерны программирования игр;Нистрем Роберт;На складе;1232;1579;22
Эффективный C. Профессиональное программирование;Сикорд Роберт С.;На складе;1470;1884;22
React. Современные шаблоны для разработки приложений;Бэнкс Алекс, Порселло Ева;На складе;1537;1971;22
JavaScript. Обработка событий на примерах. Учебное пособие;Янцев Валерий Викторович;Ограничено;1546;2209;30
ASP.NET CORE в действии;Лок Эндрю;На складе;2643;3776;30
Анализируем данные в Microsoft Power BI. Подготовка к экзамену DA-100;Маслюк Даниил;На складе;1322;1888;30
Программирование на PHP в примерах и задачах;Васильев Алексей;На складе;771;988;22
Статистический анализ экспериментальных данных в пакетах MathCAD и Excel;Воскобойников Юрий Евгеньевич;Ограничено;1417;2024;30
Инженерные расчеты. Книга-билингва. Учебное пособие;Очков Валерий Федорович и др.;На складе;2318;3312;30
JavaScript. Обработка событий на примерах. Учебное пособие для СПО;Янцев Валерий Викторович;На складе;1546;2209;30
Компьютерное моделирование автоматизации технологических процессов и производств. Практикум. СПО;Алексеев Владимир Анатольевич;Ограничено;1417;2024;30
Ghidra. Полное руководство;Игл Крис, Нэнс Кара;На складе;2512;3588;30
Изучаем WinUI 3.0;Эшкрафт Элвин;На складе;1322;1888;30
JavaScript для профессиональных веб-разработчиков;Фрисби Мэтт;На складе;2747;3522;22
Осваиваем Ethereum. Создание смарт-контрактов и децентрализованных приложений;Антонопулос Андреас М., Вуд Гэвин;На складе;1726;2213;22
SQL за 10 минут;Форта Бен;На складе;1120;1600;30
Облачные архитектуры. Разработка устойчивых и экономичных облачных приложений;Лащевски Том и др.;На складе;1236;1584;22
Делай как в Google. Разработка программного обеспечения;Винтерс Титус и др.;На складе;2244;2877;22
Программируем на C# 8.0. Разработка приложений;Гриффитс Иэн;На складе;3243;4158;22
C# 9.0. Справочник. Полное описание языка;Албахари Джозеф;На складе;4235;6050;30
Изучаем квантовые вычисления на Python и Q#;Кайзер Сара, Гранад Кристофер;На складе;2095;2993;30
Системы автоматического управления: теория, применение, моделирование в MATLAB. Учебное пособие;Ощепков Александр Юрьевич;Ограничено;1771;2530;30
Коды с суммированием для систем технического диагностирования. В 2-х томах;Сапожников Валерий Владимирович и др.;На складе;1420;2029;30
Основы тестирования программного обеспечения. СПО;Старолетов Сергей Михайлович;На складе;1392;1988;30
Java. Решение практических задач;Леонард Анджел;На складе;1376;1966;30
Создание сайтов на Tilda. Самоучитель;Молочков Владимир Петрович;На складе;620;886;30
Основы искусственного интеллекта в примерах на Python;Постолит Анатолий Владимирович;На складе;777;1110;30
Python, Django и PyCharm для начинающих;Постолит Анатолий Владимирович;На складе;724;1034;30
Bootstrap и CSS-препроцессор Sass;Прохоренок Николай Анатольевич;На складе;847;1210;30
Практическая статистика для специалистов Data Science;Брюс Питер и др.;На складе;794;1134;30
Гид по Computer Science, расширенное издание;Спрингер Вильям;На складе;938;1203;22
Как работают компьютерные сети и интернет;Северанс Чарльз Р.;На складе;856;1223;30
Разработка конвейеров машинного обучения. Автоматизация жизненных циклов модели с помощью TensorFlow;Ханнес Хапке, Нельсон Кэтрин;На складе;1428;2040;30
SQL для хранения, обработки и анализа данных;Туманов Владимир Евгеньевич, Гайфуллин Булат Накиевич;На складе;574;820;30
Безопасность веб-приложений. Разведка, защита, нападение;Хоффман Эндрю;На складе;1994;2557;22
Распределенные данные. Алгоритмы работы современных систем хранения информации;Петров Алекс;На складе;2161;2771;22
Безопасно by Design;Берг Джонсон Дэн и др.;На складе;1751;2245;22
Разработка на JavaScript. Построение кроссплатформенных приложений с помощью GraphQL, React;Скотт Адам Д.;На складе;1901;2437;22
Пакет прикладных программ. Учебное пособие;Шитов Виктор Николаевич;На складе;2268;3240;30
Программирование в САПР. Пространственное моделирование колонного аппарата в среде Autodesk Inventor;Лянг Виктор Федорович;На складе;1797;2567;30
Искусство тестирования на проникновение в сеть;Дэвис Ройс;На складе;1428;2040;30
Построение пользовательских интерфейсов;Малышев Кирилл Викторович;На складе;1285;1835;30
Data Science для карьериста;Нолис Жаклин, Робинсон Эмили;На складе;1945;2494;22
Экстремальный Cи. Параллелизм, ООП и продвинутые возможности;Амини Камран;На складе;2457;3150;22
Программная инженерия. Учебное пособие;Маран Микхель Михкелевич;Ограничено;1889;2698;30
Алгоритмы обработки текста. 125 задач с решениями;Крошемор Максим и др.;На складе;1428;2040;30
Аналитика в Power BI с помощью R и Python;Уэйд Райан;На складе;1856;2651;30
Программирование. Введение в профессию. Том 2. Системы и сети;Столяров Андрей Викторович;На складе;2141;3059;30
Программирование. Введение в профессию. Том 3. Парадигмы;Столяров Андрей Викторович;На складе;2141;3059;30
C#. Алгоритмы и структуры данных. Учебное пособие для вузов;Тюкачев Николай Аркадьевич, Хлебостроев Виктор Григорьевич;На складе;2515;3593;30
Python, например;Лейси Никола;На складе;987;1265;22
Изучаем SQL. Генерация, выборка и обработка данных;Болье Алан;На складе;2419;3456;30
Знакомство с программированием на языке Processing;Риас Кейси, Фрай Бен;На складе;1070;1529;30
Arduino. Большая книга рецептов;Марголис Майкл и др.;На складе;1482;2117;30
Active Directory глазами хакера;Hacker Ralf;На складе;382;546;30
Web-сервер глазами хакера;Фленов Михаил Евгеньевич;На складе;538;768;30
JavaScript для глубокого обучения. TensorFlow.js;Шолле Франсуа и др.;На складе;2805;3596;22
Введение в язык Си++;Столяров Андрей Викторович;На складе;856;1223;30
Профессиональное программирование на ассемблере x64 с расширениями AVX, AVX2 и AVX-512;Куссвюрм Даниэль;На складе;2284;3263;30
Говорят, в IT много платят. Как построить успешную карьеру разработчика, оставаться востребованным;Правдина Елена Владиславовна;На складе;649;832;22
Безопасность контейнеров. Фундаментальный подход к защите контейнеризированных приложений;Райс Лиз;На складе;1790;2295;22
Те же 10 вопросов через 20 лет. Офис и компьютер;Проскурин Сергей Павлович;На складе;280;359;22
Программирование. Введение в профессию. Том 1. Азы программирования;Столяров Андрей Викторович;На складе;2141;3059;30
Имитационное моделирование процессов и систем в АПК. Учебное пособие;Худякова Елена Викторовна, Липатов Алексей Александрович;На складе;1897;2710;30
ВОСХОД программиста;Земцов А. Н.;На складе;920;1180;22
JavaScript с нуля;Чиннатамби Кирупа;На складе;1223;1568;22
Наглядный CSS;Сидельников Грег;На складе;1112;1425;22
Scala. Профессиональное программирование;Одерски Мартин и др.;На складе;4219;5409;22
Основы разработки iOS-приложений на C# с помощью Xamarin. Учебное пособие для вузов;Умрихин Евгений Дмитриевич;Ограничено;2190;3129;30
Основы разработки iOS-приложений на C# с помощью Xamarin.СПО;Умрихин Евгений Дмитриевич;На складе;2087;2982;30
Программирование.Сборник задач.СПО;Батасова Валентина Сергеевна, Гречкина Полина Викторовна;Ограничено;1113;1590;30
Математическое программирование.СПО;Ганичева Антонина Валериановна;Ограничено;905;1293;30
Программирование на ассемблере х64. От начального уровня до профессионального использования AVX64;Йо Ван Гуй;На складе;1428;2040;30
Веб-дизайн для начинающих. HTML, CSS, JavaScript и веб-графика;Роббинс Дженнифер Нидерст;На складе;1852;2646;30
Разработка веб-приложений на WordPress;Мессенленер Брайан, Коулман Джейсон;На складе;1165;1664;30
Парадигма программирования. Учебное пособие;Городняя Лидия Васильевна;На складе;1674;2391;30
ASP.NET Core 3 с примерами на C# для профессионалов;Фримен Адам;На складе;4840;6914;30
PowerShell для сисадминов;Бертрам Адам;На складе;1840;2359;22
Защита данных. От авторизации до аудита;Андресс Джейсон;На складе;1223;1568;22
Создаем динамические веб-сайты на PHP;Татро Кевин, Макинтайр Питер;На складе;1840;2359;22
Теория вероятностей и математическая статистика в среде MATLAB. Учебное пособие;Алибеков Игорь Юсупович;На складе;1355;1936;30
HTTP/2 в действии;Поллард Барри;На складе;1856;2651;30
Методика моделирования динамики октокоптера;Щекатуров Александр Михайлович;На складе;1142;1631;30
Байесовская статистика. Star Wars, LEGO, резиновые уточки и многое другое;Курт Уилл;На складе;2210;2833;22
Python. Лучшие практики и инструменты;Яворски Михаил, Зиаде Терек;На складе;2210;2833;22
Raspberry Pi 4. Официальное руководство для начинающих;Халфакри Гарет;На складе;1428;2040;30
Laravel 8. Быстрая разработка веб-сайтов на PHP;Дронов Владимир Александрович;На складе;1048;1497;30
Разработка Android-приложений на С# с использованием Xamarin с нуля;Умрихин Евгений Дмитриевич;На складе;692;988;30
Атаки на веб и WordPress;;На складе;519;741;30
Linux глазами хакера;Фленов Михаил Евгеньевич;На складе;692;988;30
Вероятностное программирование;Колбин Вячеслав Викторович;Ограничено;2167;3096;30
C# 9.0. Карманный справочник;Албахари Джозеф, Албахари Бен;На складе;1210;1728;30
Восстановление данных. Практическое руководство;Касперски Крис и др.;На складе;642;917;30
Теория автоматического управления (с использованием MATLAB - SIMULINK). Учебное пособие;Пащенко Федор Федорович, Кудинов Юрий Иванович;Ограничено;2504;3577;30
Обработка естественного языка. Python и spaCy на практике;Васильев Юрий;На складе;1229;1576;22
Python для финансовых расчетов;Хилпиш Ив;На складе;4840;6914;30
Разработка и анализ компьютерных алгоритмов;Ахо Альфред В. и др.;На складе;1814;2592;30
Научное программирование на Python;Хилл Кристиан;На складе;2284;3263;30
Проектирование и разработка WEB-приложений. Введение в frontend и backend разработку на JavaScript;Заяц Анатолий Моисеевич, Васильев Николай Павлович;На складе;1376;1966;30
C#. Основы программирования (+CD). СПО;Тюкачев Николай Аркадьевич, Хлебостроев Виктор Григорьевич;На складе;1796;2566;30
C#. Программирование 2D и 3D векторной графики (+CD). СПО;Тюкачев Николай Аркадьевич, Хлебостроев Виктор Григорьевич;На складе;1796;2566;30
Алгоритмизация и программирование. Практикум. СПО;Андрианова Анастасия Александровна;Ограничено;1408;2011;30
Организация беспроводных Ad Hoc и Hot Spot сетей в среде ОС Windows;Заяц Анатолий Моисеевич, Хабаров Сергей Петрович;На складе;1490;2128;30
Построение распределенных систем на базе WebSocket. Учебное пособие;Хабаров Сергей Петрович, Шилкина Мария Львовна;Ограничено;1402;2003;30
Практическое введение в язык программирования Си. СПО;Солдатенко Илья Сергеевич, Попов Иван Владимирович;На складе;951;1358;30
Проектирование и разработка WEB-приложений. Введение в frontend и backend разработку. СПО;Заяц Анатолий Моисеевич, Васильев Николай Павлович;Ограничено;1033;1475;30
Введение в язык Си++;Столяров Андрей Викторович;На складе;1141;1630;30
Оформление программного кода;Столяров Андрей Викторович;На складе;951;1358;30
Простой Python для опытных программистов;Гаско Рик;На складе;718;1025;30
Профессиональная разработка на Python;Уилкс Мэттью;На складе;2427;3467;30
Программируй & типизируй;Ришкуция Влад;На складе;1773;2273;22
